ORI1,ORI2,ORI3,ENV1,ENV2,CLA1,CLA2,CLA3,EXC1,EXC2,EXC3,NEW1,NEW2,INF1,INF2,INF3,PRICE
0.7356209150505524,0.5207516340049009,0.3475490196258197,0.8246323529327848,0.7792892156778721,1.003594771236235,0.7519607843081271,-0.1516339869337087,0.21764705881792623,0.47009803921008797,0.9161764705826372,0.09791666665828047,1.5060049019523785,0.07794117646499227,0.8949346405172766,0.6310457516283865,-1.9934640522322303e-06
0.3014705882352948,0.0,0.0,0.04534313725488237,0.0,0.7034313725490191,0.0,0.0,-0.4754901960784341,0.0,0.0,-1.4080882352941266,0.0,-0.6850490196078491,0.0,0.0,-1.9934640523359283e-06
0.3014705882352962,0.0,0.0,0.04534313725488326,0.0,0.7034313725490206,0.0,0.0,-0.4754901960784339,0.0,0.0,-1.40808823529413,0.0,0.0,0.5404411764705755,0.0,-1.9934640523058324e-06
0.3014705882352945,0.0,0.0,0.04534313725488409,0.0,0.7034313725490199,0.0,0.0,-0.47549019607843324,0.0,0.0,-1.408088235294127,0.0,0.0,0.0,0.14460784313725117,-1.9934640522987503e-06
0.3014705882352955,0.0,0.0,0.045343137254888144,0.0,0.703431372549022,0.0,0.0,-0.4754901960784266,0.0,0.0,0.0,1.4080882352941226,-0.6850490196078428,0.0,0.0,-1.9934640523579177e-06
0.30147058823529493,0.0,0.0,0.0453431372548867,0.0,0.7034313725490229,0.0,0.0,-0.4754901960784277,0.0,0.0,0.0,1.4080882352941249,0.0,0.5404411764705834,0.0,-1.993464052306148e-06
0.30147058823529366,0.0,0.0,0.04534313725488581,0.0,0.7034313725490219,0.0,0.0,-0.4754901960784268,0.0,0.0,0.0,1.4080882352941235,0.0,0.0,0.14460784313725697,-1.993464052462419e-06
0.30147058823529355,0.0,0.0,0.045343137254881816,0.0,0.7034313725490189,0.0,0.0,0.0,-0.09681372549019424,0.0,-1.4080882352941413,0.0,-0.685049019607846,0.0,0.0,-1.9934640523004656e-06
0.3014705882352932,0.0,0.0,0.0453431372548837,0.0,0.7034313725490211,0.0,0.0,0.0,-0.09681372549019532,0.0,-1.4080882352941375,0.0,0.0,0.5404411764705795,0.0,-1.9934640523180987e-06
0.30147058823529305,0.0,0.0,0.04534313725488265,0.0,0.7034313725490182,0.0,0.0,0.0,-0.09681372549019267,0.0,-1.4080882352941415,0.0,0.0,0.0,0.1446078431372545,-1.9934640524169737e-06
0.30147058823529704,0.0,0.0,0.04534313725488637,0.0,0.7034313725490198,0.0,0.0,0.0,-0.09681372549019379,0.0,0.0,1.4080882352941217,-0.685049019607846,0.0,0.0,-1.993464052439141e-06
0.30147058823529727,0.0,0.0,0.045343137254888255,0.0,0.703431372549022,0.0,0.0,0.0,-0.0968137254901909,0.0,0.0,1.4080882352941217,0.0,0.5404411764705808,0.0,-1.993464052403072e-06
0.3014705882352992,0.0,0.0,0.04534313725488903,0.0,0.7034313725490202,0.0,0.0,0.0,-0.09681372549019424,0.0,0.0,1.4080882352941222,0.0,0.0,0.14460784313725789,-1.9934640523809756e-06
0.3014705882352987,0.0,0.0,0.04534313725488459,0.0,0.703431372549023,0.0,0.0,0.0,0.0,0.5723039215686322,-1.4080882352941577,0.0,-0.6850490196078438,0.0,0.0,-1.9934640523001056e-06
0.3014705882352995,0.0,0.0,0.045343137254885924,0.0,0.7034313725490214,0.0,0.0,0.0,0.0,0.5723039215686316,-1.4080882352941528,0.0,0.0,0.5404411764705817,0.0,-1.993464052377184e-06
0.30147058823529793,0.0,0.0,0.04534313725488365,0.0,0.7034313725490218,0.0,0.0,0.0,0.0,0.5723039215686313,-1.4080882352941555,0.0,0.0,0.0,0.14460784313725789,-1.993464052431766e-06
0.30147058823529604,0.0,0.0,0.04534313725488792,0.0,0.7034313725490198,0.0,0.0,0.0,0.0,0.5723039215686312,0.0,1.4080882352941515,-0.6850490196078425,0.0,0.0,-1.993464052342176e-06
0.3014705882352969,0.0,0.0,0.045343137254888144,0.0,0.7034313725490223,0.0,0.0,0.0,0.0,0.5723039215686297,0.0,1.408088235294149,0.0,0.5404411764705809,0.0,-1.9934640523581955e-06
0.3014705882352968,0.0,0.0,0.04534313725488914,0.0,0.7034313725490215,0.0,0.0,0.0,0.0,0.5723039215686295,0.0,1.408088235294153,0.0,0.0,0.14460784313725525,-1.9934640523898644e-06
0.30147058823529316,0.0,0.0,0.045343137254883314,0.0,0.0,0.32598039215686186,0.0,-0.47549019607841825,0.0,0.0,-1.4080882352941457,0.0,-0.6850490196078494,0.0,0.0,-1.993464052305603e-06
0.3014705882352918,0.0,0.0,0.04534313725488337,0.0,0.0,0.325980392156862,0.0,-0.47549019607841914,0.0,0.0,-1.4080882352941435,0.0,0.0,0.5404411764705778,0.0,-1.993464052324069e-06
0.3014705882352928,0.0,0.0,0.045343137254883537,0.0,0.0,0.3259803921568622,0.0,-0.47549019607841936,0.0,0.0,-1.4080882352941435,0.0,0.0,0.0,0.14460784313725497,-1.9934640523097617e-06
0.3014705882352948,0.0,0.0,0.045343137254884536,0.0,0.0,0.32598039215686336,0.0,-0.4754901960784187,0.0,0.0,0.0,1.4080882352941253,-0.6850490196078411,0.0,0.0,-1.9934640523514785e-06
0.30147058823529493,0.0,0.0,0.04534313725488537,0.0,0.0,0.32598039215686514,0.0,-0.47549019607841925,0.0,0.0,0.0,1.408088235294126,0.0,0.5404411764705851,0.0,-1.9934640523659234e-06
