INDEX,Intercept,ORI2,ORI3,ENV2,CLA2,CLA3,EXC2,EXC3,NEW2,INF2,INF3,PRICE
267,1.083333333333333,0.6666666666666641,2.833333333333333,-0.7500000000000036,-1.333333333333333,0.8333333333333331,-0.6666666666666669,0.1666666666666638,4.000000000000001,2.166666666666669,-0.666666666666665,-1.0833333333333333
272,3.0555555555555576,0.3333333333333316,0.3333333333333323,-0.33333333333333415,4.440892098500626e-16,-2.833333333333334,-1.3322676295501878e-15,0.16666666666666533,0.16666666666666585,2.000000000000002,2.1666666666666665,-0.16666666666666735
273,4.722222222222228,0.8333333333333304,-1.1666666666666698,-0.8333333333333334,-0.833333333333336,-3.6637359812630166e-15,0.9999999999999982,2.6666666666666634,0.16666666666666846,0.8333333333333334,0.8333333333333346,-0.5000000000000009
285,4.4444444444444455,-0.1666666666666673,9.43689570931383e-16,-0.41666666666666735,-4.440892098500626e-16,0.3333333333333317,0.3333333333333337,-0.5,0.5833333333333324,-0.5000000000000029,-0.16666666666666918,-6.106226635438361e-16
290,8.250000000000005,-1.000000000000003,-2.5000000000000018,-0.24999999999999972,1.6666666666666643,1.8333333333333282,-1.0000000000000002,-0.5000000000000022,-6.661338147750939e-16,1.4999999999999987,0.9999999999999989,-0.9166666666666673
291,4.222222222222223,-1.16666666666667,0.33333333333333215,1.1666666666666639,-0.4999999999999999,-0.3333333333333347,1.833333333333335,2.333333333333331,0.6666666666666652,2.3333333333333353,1.8333333333333346,-0.3333333333333336
293,5.777777777777779,-0.33333333333333626,-0.8333333333333348,-0.41666666666666824,0.4999999999999998,-0.16666666666666907,-0.16666666666666674,0.4999999999999985,0.08333333333333304,0.8333333333333346,4.440892098500626e-16,-7.771561172376096e-16
296,0.8333333333333335,-9.992007221626409e-16,-0.5000000000000007,0.4999999999999982,0.49999999999999933,1.4999999999999987,1.333333333333333,1.166666666666666,4.500000000000003,-0.8333333333333363,-0.16666666666666785,-0.4166666666666658
297,1.8888888888888895,-1.3333333333333395,0.4999999999999954,-0.8333333333333364,-1.000000000000002,0.16666666666666485,2.833333333333334,5.83333333333333,1.6666666666666672,-0.1666666666666597,1.833333333333341,-0.33333333333333315
298,3.000000000000001,-1.9984014443252818e-15,-2.220446049250313e-16,-2.886579864025407e-15,-4.440892098500626e-16,-1.5543122344752192e-15,-8.881784197001252e-16,-1.7537270293995837e-15,5.000000000000003,-8.229009941780849e-16,-4.440892098500626e-16,-5.551115123125783e-17
299,5.02777777777778,-0.16666666666666763,-0.4999999999999992,-0.41666666666666785,0.1666666666666663,0.16666666666666508,2.220446049250313e-16,-0.6666666666666672,1.3333333333333335,-2.6360812786223335e-15,-0.6666666666666694,-0.4166666666666672
300,-7.771561172376096e-16,-1.9984014443252818e-15,-4.440892098500626e-16,-5.10702591327572e-15,6.661338147750939e-16,-1.1102230246251565e-15,-1.1102230246251565e-15,-1.9866898692694726e-15,10.000000000000005,-5.740752021650975e-16,4.440892098500626e-16,1.154683386728965e-15
303,9.472222222222227,-0.5000000000000033,-0.3333333333333341,-0.583333333333335,-1.7763568394002505e-15,0.1666666666666622,-0.3333333333333339,-2.3848475513284798e-15,0.16666666666666674,0.16666666666666619,-1.7763568394002505e-15,-0.6666666666666681
305,1.88888888888889,2.3333333333333317,-0.6666666666666697,-1.583333333333332,0.49999999999999867,0.16666666666666352,0.833333333333331,2.333333333333331,-0.0833333333333317,3.166666666666668,2.5000000000000013,-0.6666666666666674
