,Full sample,Full sample SE,Cluster 1,Cluster 1 SE,Cluster 2,Cluster 2 SE
ORI1,0.21486928104575131,0.10658786881422597,0.004854368932037265,0.13457653579769058,0.42904290429043473,0.1370918387474612
ORI2,-0.0416666666666671,-0.21317573762845055,0.355987055016185,-0.2691530715953822,-0.4471947194719563,-0.27418367749492156
ORI3,-0.1732026143790842,0.10658786881422458,-0.3608414239482223,0.13457653579769163,0.01815181518152158,0.13709183874746037
ENV1,0.045343137254885146,-0.09230780212836155,0.26375404530745167,-0.11654669875410703,-0.1773927392739143,-0.11872501500682055
ENV2,-0.045343137254885146,0.09230780212836155,-0.26375404530745167,0.11654669875410703,0.1773927392739143,0.11872501500682055
CLA1,1.406862745098039,-0.21317573762845016,2.3268608414239553,-0.2691530715953815,0.4686468646864707,-0.27418367749492084
CLA2,-0.251633986928102,0.10658786881422444,-0.4805825242718478,0.1345765357976905,-0.018151815181517827,0.13709183874746006
CLA3,-1.155228758169937,0.10658786881422572,-1.8462783171521078,0.134576535797691,-0.4504950495049529,0.13709183874746078
EXC1,-0.9509803921568665,-0.21317573762845105,-0.5177993527508209,-0.26915307159538204,-1.3927392739274143,-0.27418367749492045
EXC2,0.2524509803921589,0.1065878688142254,0.09223300970874268,0.13457653579769113,0.41584158415842304,0.13709183874746014
EXC3,0.6985294117647076,0.10658786881422565,0.4255663430420782,0.1345765357976909,0.9768976897689912,0.13709183874746034
NEW1,-1.4080882352941082,-0.09230780212836226,-0.430420711974062,-0.11654669875410673,-2.4051155115511844,-0.11872501500682053
NEW2,1.4080882352941082,0.09230780212836226,0.430420711974062,0.11654669875410673,2.4051155115511844,0.11872501500682053
INF1,-1.3700980392156805,-0.21317573762845088,-1.2653721682847336,-0.2691530715953819,-1.4768976897689856,-0.27418367749492056
INF2,0.8169934640522843,0.10658786881422568,0.783171521035556,0.1345765357976908,0.85148514851487,0.13709183874746037
INF3,0.5531045751633961,0.10658786881422522,0.48220064724917766,0.13457653579769108,0.6254125412541157,0.1370918387474602
PRICE_10,-0.09967320261437386,0.0532939344071124,-0.2880258899676396,0.06728826789884541,0.0924092409240903,0.0685459193737302
PRICE_15,-0.19934640522874772,0.1065878688142248,-0.5760517799352792,0.13457653579769083,0.1848184818481806,0.1370918387474604
PRICE_20,-0.2990196078431216,0.15988180322133722,-0.8640776699029189,0.20186480369653625,0.27722772277227087,0.2056377581211906
Intercept,4.246732026143801,0.17405726091037635,6.61272923408849,0.21976256270382516,1.8338833883388184,0.2238700352207935
Number of cases,204.0,,103.0,,101.0,
