INDEX,Intercept,ORI1,ORI3,ENV2,CLA2,CLA3,EXC2,EXC3,NEW2,INF2,INF3,PRICE
139,4.478,0.396,0.745,0.69,0.393,0.159,1.362,-1.35,1.004,-0.003,0.869,1.084
141,5.318,0.109,0.122,0.04,0.216,0.188,0.287,-0.164,0.275,0.256,1.501,0.217
144,5.435,-0.032,0.386,0.4,0.076,0.087,0.608,0.28,0.001,0.09,0.223,0.047
146,3.312,0.423,0.353,-0.069,-0.02,-0.563,0.021,0.018,0.157,-0.392,2.063,1.712
149,6.012,0.52,0.526,-0.006,0.074,-0.071,0.677,-2.938,0.058,-0.058,0.209,0.52
151,3.881,-0.512,0.283,0.744,-0.08,0.364,0.101,-0.347,0.085,0.533,1.826,-0.28
152,5.239,0.845,0.287,0.034,-0.732,0.037,0.154,-0.058,0.061,0.065,0.335,0.266
154,5.736,0.089,0.048,0.208,0.065,0.051,1.362,-4.481,0.372,0.152,0.042,0.965
155,2.261,2.52,0.965,-0.574,-0.861,-0.124,1.056,-1.396,0.639,0.064,0.756,0.288
156,7.292,0.432,0.852,-0.755,-0.135,-0.26,0.049,-2.421,0.762,-0.477,-0.273,0.846
157,3.119,1.38,0.377,0.407,-3.137,-0.03,0.88,-0.236,0.018,0.692,0.225,0.502
160,1.948,0.182,0.176,0.337,-0.702,0.374,0.166,-0.716,0.163,-0.724,3.905,-0.722
168,2.574,0.479,0.717,-0.205,0.028,0.161,0.407,-0.27,0.384,0.721,1.212,0.397
170,4.776,0.901,-0.043,-0.371,0.901,-0.519,1.066,-1.08,0.167,0.845,1.071,0.178
171,2.663,1.178,0.123,-0.325,-0.399,0.272,0.354,-1.222,0.353,-0.209,0.41,0.014
172,4.516,-0.656,-0.284,-0.067,0.929,0.248,-0.089,0.365,-0.304,-0.416,-0.088,0.591
175,2.942,0.526,0.729,-0.016,0.301,-0.304,-0.3,-1.096,-0.051,0.398,0.425,0.505
176,7.257,0.226,0.38,0.208,0.348,0.411,0.273,0.482,0.318,0.65,0.42,0.357
181,2.888,-0.641,-0.358,0.281,-0.202,0.975,-0.205,-0.665,-0.079,1.264,-0.436,-0.118
182,2.508,1.378,-0.207,-0.406,-0.664,0.561,0.451,0.11,0.92,1.83,2.02,-0.075
183,6.056,0.025,0.678,-0.259,0.604,0.161,0.343,0.116,0.01,-0.1,1.042,1.239
184,3.694,-0.787,-0.591,0.535,0.228,-0.126,0.654,-2.25,-0.145,0.437,-0.407,0.438
186,3.829,0.338,-0.047,-0.273,0.557,0.162,-0.055,0.179,-0.287,-0.061,3.341,-0.262
187,2.732,0.591,0.026,0.362,-0.081,0.63,0.157,-0.645,0.163,0.958,1.022,0.479
195,4.226,0.519,0.638,-0.419,0.3,-0.002,-0.214,-0.66,-0.222,0.226,1.892,1.213
196,4.33,0.416,0.575,-0.149,-0.386,-0.499,0.695,-0.418,-0.16,1.079,0.827,1.717
200,2.929,0.601,1.205,-0.168,0.95,-0.394,1.047,-0.95,0.374,2.627,1.505,1.401
201,2.461,0.227,0.128,-0.426,-0.463,0.508,-0.015,-0.82,0.665,0.557,1.22,0.681
202,7.401,0.049,1.069,-1.056,-0.377,1.478,-0.679,-0.885,0.501,-0.42,0.031,1.08
203,4.812,-0.387,-0.562,0.461,-0.627,0.085,-0.359,-0.034,0.209,-0.472,-0.377,-0.124
206,1.955,0.826,-0.534,0.201,0.057,0.687,-0.109,-0.211,-0.974,0.845,-0.053,0.379
211,1.946,-0.215,-0.126,0.063,-0.796,1.596,-0.345,-0.684,0.253,-0.08,2.489,0.542
214,4.088,0.009,-0.443,0.304,-0.09,-0.126,0.503,0.043,0.791,-0.886,1.928,0.353
215,3.519,0.32,0.671,-0.156,0.201,0.101,0.327,-0.239,0.322,2.25,0.394,0.436
216,3.874,-0.59,0.292,-0.064,-0.492,-0.301,0.006,0.998,0.562,1.023,-0.017,0.668
220,3.245,0.29,0.867,0.012,-0.165,-0.382,0.617,-0.067,0.357,2.047,0.502,0.744
221,4.626,0.7,0.2,-0.096,0.359,0.01,0.252,0.37,0.195,0.654,0.592,-0.373
223,8.144,0.127,-0.154,-0.578,0.253,1.364,0.088,0.084,0.208,-0.007,-0.223,1.338
229,5.006,0.32,0.576,-0.246,0.311,0.236,0.433,-0.805,0.304,1.313,2.113,0.697
230,6.547,1.229,0.437,-0.523,0.567,-0.225,0.706,-0.772,0.555,0.35,0.06,0.208
233,3.699,0.588,1.593,0.123,0.113,-0.915,0.086,-0.01,-0.087,0.238,0.856,0.58
234,1.635,0.013,-0.072,-0.154,0.245,0.098,0.019,-0.2,-0.381,-0.598,2.41,0.495
235,5.902,0.493,-0.324,0.112,-0.091,0.335,0.416,-1.267,0.505,0.505,0.52,-0.347
236,4.59,0.52,0.562,-0.641,1.524,0.638,0.94,-0.409,0.032,0.933,0.223,1.233
239,7.315,0.228,0.344,0.472,-0.109,0.407,-0.0,0.566,0.261,0.474,-0.317,0.221
241,2.088,-0.231,-0.562,0.224,0.335,0.114,0.28,-0.41,0.315,0.196,1.115,0.677
