INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y,Cluster
5,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1
5,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,1
6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,5,0
6,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,2,0
6,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,7,0
6,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7,0
6,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0
6,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,5,0
6,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,7,0
6,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,7,0
6,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,6,0
6,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,4,0
6,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,3,0
6,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,5,0
6,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,5,0
6,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,6,0
6,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,4,0
6,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,4,0
6,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,5,0
6,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,6,0
7,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
7,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,7,0
7,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,0
7,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0
7,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,2,0
7,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,2,0
7,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,0
7,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,2,0
7,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,0
7,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,0
7,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,3,0
7,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2,0
7,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,0
7,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,0
7,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2,0
7,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,2,0
7,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,7,0
7,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0
8,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
8,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,0
8,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,0
8,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0
8,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0
8,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
8,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0
8,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,0
8,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,0
8,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,10,0
8,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
8,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,0
8,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,0
8,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0
8,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,5,0
8,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
8,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0
10,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1
10,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,6,1
10,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,7,1
10,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
10,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,3,1
10,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,1
10,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,1
10,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,2,1
10,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,1,1
10,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,1
10,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,10,1
10,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,7,1
10,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,1,1
10,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,1,1
10,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,3,1
10,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,1
10,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,9,1
10,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,2,1
12,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
12,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,5,0
12,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,6,0
12,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0
12,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,0
12,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0
12,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,0
12,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,0
12,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,3,0
12,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,3,0
12,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,5,0
12,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
12,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,0
12,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,2,0
12,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0
12,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0
12,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,3,0
12,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,1,0
13,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,4,0
13,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,7,0
13,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,3,0
13,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0
13,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
13,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,3,0
13,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,0
13,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,3,0
13,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,2,0
13,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,2,0
13,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,9,0
13,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,4,0
13,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,3,0
13,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,3,0
13,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,3,0
13,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,0
13,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,3,0
13,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,2,0
14,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,1,0
14,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,8,0
14,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,8,0
14,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
14,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0
14,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,7,0
14,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,0
14,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,5,0
14,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,7,0
14,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,8,0
14,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,9,0
14,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,3,0
14,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,5,0
14,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,6,0
14,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2,0
14,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,2,0
14,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,6,0
14,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,5,0
16,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,1,1
16,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,6,1
16,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,3,1
16,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,8,1
16,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,7,1
16,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,5,1
16,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,7,1
16,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,5,1
16,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,4,1
16,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,3,1
16,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,10,1
16,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
16,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,1
16,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,1,1
16,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,1
16,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,1
16,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,10,1
16,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,1
19,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1
19,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,8,1
19,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,1
19,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
19,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,4,1
19,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,3,1
19,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,1
19,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,3,1
19,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1
19,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,1
19,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,10,1
19,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,9,1
19,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,1
19,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,1
19,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,4,1
19,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,4,1
19,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,8,1
19,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,1
22,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,2,1
22,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,1
22,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,3,1
22,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7,1
22,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,2,1
22,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,1,1
22,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,7,1
22,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,4,1
22,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1
22,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,1
22,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,8,1
22,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,4,1
22,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,1
22,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,1
22,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2,1
22,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,1,1
22,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,4,1
22,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,3,1
23,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
23,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,5,0
23,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,0
23,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
23,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0
23,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0
23,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,4,0
23,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0
23,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,0
23,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,0
23,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,5,0
23,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,5,0
23,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,0
23,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,0
23,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0
23,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0
23,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0
23,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0
28,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,1,1
28,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,1
28,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,1
28,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10,1
28,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,1
28,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,5,1
28,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,10,1
28,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,5,1
28,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,4,1
28,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,5,1
28,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,7,1
28,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,10,1
28,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,5,1
28,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,5,1
28,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,7,1
28,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,8,1
28,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,10,1
28,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,5,1
31,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,3,0
31,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,0
31,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,10,0
31,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
31,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,7,0
31,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,2,0
31,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
31,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,0
31,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,7,0
31,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,4,0
31,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,8,0
31,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,3,0
31,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,3,0
31,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,8,0
31,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2,0
31,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,4,0
31,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,6,0
31,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,2,0
32,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
32,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
32,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0
32,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
