INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y
5,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,5
6,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,2
6,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,7
6,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,7
6,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,5
6,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,5
6,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,7
6,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,7
6,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,6
6,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,4
6,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,3
6,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,5
6,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,5
6,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,6
6,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,4
6,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,4
6,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,5
6,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,6
7,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
7,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,7
7,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
7,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,2
7,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,2
7,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,2
7,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,2
7,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,2
7,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
7,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
7,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,3
7,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,2
7,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
7,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
7,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,2
7,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,2
7,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,7
7,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
8,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
8,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
8,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
8,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
8,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,0
8,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
8,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,0
8,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,0
8,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
8,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
8,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,10
8,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,0
8,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
8,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
8,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,0
8,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,5
8,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,0
8,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
10,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
10,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,6
10,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,7
10,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,1
10,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,3
10,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
10,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,5
10,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,2
10,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,1
10,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
10,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,10
10,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,7
10,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,1
10,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,1
10,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,3
10,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
10,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,9
10,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,2
12,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
12,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,5
12,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,6
12,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,2
12,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,1
12,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
12,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,2
12,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,1
12,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,3
12,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,3
12,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,5
12,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,0
12,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
12,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,2
12,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,0
12,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,0
12,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,3
12,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,1
13,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,4
13,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,7
13,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,3
13,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,2
13,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,3
13,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,3
13,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,5
13,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,3
13,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,2
13,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,2
13,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,9
13,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,4
13,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,3
13,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,3
13,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,3
13,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
13,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,3
13,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,2
14,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,1
14,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,8
14,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,8
14,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,1
14,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,5
14,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,7
14,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,5
14,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,5
14,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,7
14,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,8
14,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,9
14,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,3
14,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,5
14,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,6
14,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,2
14,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,2
14,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,6
14,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,5
16,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,1
16,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,6
16,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,3
16,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,8
16,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,7
16,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,5
16,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,7
16,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,5
16,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,4
16,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,3
16,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,10
16,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,1
16,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
16,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,1
16,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,0
16,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
16,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,10
16,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
19,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
19,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,8
19,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
19,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
19,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,4
19,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,3
19,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,5
19,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,3
19,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
19,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
19,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,10
19,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,9
19,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
19,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
19,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,4
19,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,4
19,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,8
19,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
22,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,2
22,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
22,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,3
22,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,7
22,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,2
22,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,1
22,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,7
22,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,4
22,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
22,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
22,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,8
22,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,4
22,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
22,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
22,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,2
22,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,1
22,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,4
22,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,3
23,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
23,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,5
23,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
23,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
23,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,5
23,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
23,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,4
23,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,0
23,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
23,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
23,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,5
23,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,5
23,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
23,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
23,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,0
23,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,0
23,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,4
23,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,0
28,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,1
28,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
28,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
28,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,10
28,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,5
28,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,5
28,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,10
28,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,5
28,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,4
28,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,5
28,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,7
28,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,10
28,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,5
28,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,5
28,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,7
28,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,8
28,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,10
28,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,5
31,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,3
31,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
31,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,10
31,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
31,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,7
31,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,2
31,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,1
31,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,1
31,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,7
31,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,4
31,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,8
31,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,3
31,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,3
31,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,8
31,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,2
31,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,4
31,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,6
31,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,2
32,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
32,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,0
32,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,0
32,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
32,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,0
32,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
32,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,3
32,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,0
32,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
