INDEX,Intercept,OAU2,OAU3,MTY2,EIN1,EIN3,SIN2,SIN3,EFI1,EFI3,AFI2,AFI3,PRICE
117,3.986,0.276,0.263,0.617,-0.75,0.621,1.153,-0.411,0.854,0.674,0.443,-0.041,0.091
118,9.69,0.283,0.304,0.292,-3.773,0.281,0.217,0.304,0.318,0.306,0.295,0.303,0.281
119,1.514,0.22,0.002,-0.108,-0.28,0.107,0.187,-0.12,-0.012,0.089,0.2,0.099,0.212
124,3.84,1.337,0.342,-0.122,-0.767,1.111,1.441,0.458,-0.225,1.447,0.521,0.737,0.592
125,7.306,0.993,0.423,0.202,-1.925,0.654,0.822,-0.532,0.501,0.762,0.881,-0.304,0.409
129,3.17,0.077,0.105,0.331,-0.681,0.19,0.608,-0.013,0.446,0.559,0.345,0.18,0.044
131,7.436,0.348,0.281,0.308,-1.927,0.011,0.193,0.309,0.293,0.313,0.284,0.526,0.071
132,0.753,0.357,0.385,0.368,-0.181,0.369,5.569,0.136,-0.442,0.378,0.37,0.388,0.372
133,3.493,0.557,0.122,0.367,-0.433,1.239,0.324,-0.834,0.673,0.395,0.755,-0.152,0.417
134,4.546,0.53,0.516,1.932,-1.262,0.418,0.54,0.179,0.755,-0.468,1.614,-0.998,1.933
137,10.0,0.368,0.318,0.189,-3.763,0.381,0.253,0.208,0.316,0.504,0.28,0.375,0.383
139,5.607,1.865,-1.006,1.651,-1.406,2.123,-0.145,-0.733,0.553,0.612,0.945,-2.081,0.598
140,6.422,0.594,0.635,0.975,-0.816,0.818,0.643,-0.566,0.009,0.425,1.363,-1.504,0.945
141,3.171,1.199,0.481,-0.462,-1.807,1.901,1.83,-0.261,0.086,1.534,0.934,0.323,0.561
142,2.251,0.642,0.174,-0.764,-0.5,-0.638,2.674,-0.048,0.545,0.411,0.52,-0.111,0.369
144,1.443,-0.082,-0.114,0.703,-0.825,0.896,1.186,0.734,0.046,0.981,-0.192,-0.508,-0.635
145,2.678,0.841,0.651,0.203,-0.259,0.268,1.522,0.037,0.157,0.324,0.114,-0.174,0.404
146,8.279,0.673,0.034,0.287,-2.062,0.337,0.712,0.039,0.255,0.105,0.909,0.237,0.35
147,1.852,0.135,0.527,0.294,-0.115,0.012,3.757,0.215,-0.262,0.811,0.235,-0.287,0.069
148,2.101,1.008,-0.429,0.166,-0.461,-0.149,4.858,-0.147,1.018,0.166,-0.431,-0.42,0.176
149,7.495,0.197,0.916,0.344,-0.539,-0.062,0.368,-0.209,0.125,0.443,0.81,-0.551,0.485
150,4.352,-0.053,-0.838,1.648,-0.659,1.232,0.469,-0.543,-0.447,-0.196,0.248,-0.424,0.967
153,2.907,-0.031,-0.545,-0.337,-0.959,0.45,2.29,-0.017,0.903,1.282,1.615,-0.291,0.522
154,4.762,0.677,-0.158,-0.41,-1.88,0.459,1.754,-0.373,-0.046,0.479,0.85,-0.083,0.358
155,0.957,0.132,-0.049,-0.048,-0.146,0.012,3.473,0.086,-0.15,0.271,0.049,-0.096,0.247
156,8.544,0.443,1.243,0.284,-2.465,0.254,0.549,0.561,0.573,0.172,0.279,0.027,-0.668
158,8.672,0.913,0.733,0.942,-3.031,0.545,0.873,-0.318,0.476,0.856,0.836,-0.462,0.148
159,5.083,0.52,1.689,0.15,-0.223,0.416,-1.091,0.802,0.822,0.441,0.106,0.028,-0.787
160,6.194,3.443,0.738,-0.399,-1.599,3.434,0.149,0.758,-0.4,0.168,0.159,0.197,0.18
161,2.271,2.406,-0.038,0.084,-0.296,2.644,0.998,-0.306,0.146,0.504,0.265,0.019,0.26
162,6.958,0.424,-0.056,0.162,-1.054,0.311,0.508,0.054,0.039,0.256,0.139,0.344,0.454
163,2.171,0.998,-0.734,0.779,-0.452,1.442,2.378,-0.185,0.045,0.884,0.029,-0.632,0.193
165,1.99,0.969,-0.118,-0.241,-0.452,0.392,3.879,-0.259,0.337,0.243,-0.006,0.086,-0.043
169,4.76,-0.016,0.083,-0.031,-0.102,0.09,-0.064,0.462,0.239,0.262,0.014,0.247,0.033
170,4.219,0.659,-0.318,0.487,-0.452,1.24,1.054,-0.078,-0.197,0.452,0.558,-0.244,1.271
171,3.418,0.596,0.213,1.144,-0.58,1.86,0.171,-0.354,-0.234,0.588,0.354,0.989,0.163
177,6.44,0.645,0.277,0.513,-1.982,0.169,0.127,0.173,0.177,0.455,0.585,-0.056,0.87
178,3.052,1.216,0.242,-0.595,-1.162,0.155,2.822,-0.084,0.389,0.807,1.717,-0.48,0.538
179,0.759,0.374,-0.177,0.076,-0.249,0.396,1.172,-0.353,0.006,0.12,0.006,0.234,-0.116
181,4.726,0.409,-0.117,0.013,-0.776,-0.286,1.263,0.432,0.808,-0.09,0.044,1.011,0.198
183,1.829,0.735,-0.376,0.786,0.023,1.433,1.35,0.093,-0.584,-0.129,-0.362,-0.044,-0.18
189,2.662,0.687,0.012,0.461,-0.478,0.231,1.359,-0.402,0.184,0.614,0.495,-0.348,0.362
190,4.648,0.683,0.044,-0.309,-2.159,0.805,1.055,-1.166,1.152,2.216,0.803,0.932,1.639
191,5.351,1.289,0.037,0.25,-0.249,0.347,0.715,0.441,0.554,-0.046,0.393,0.767,0.169
192,9.138,0.439,0.437,0.323,-3.406,0.322,0.347,0.144,0.348,0.347,0.439,0.284,0.271
194,5.79,1.5,0.272,0.492,-1.732,1.49,0.584,0.069,-0.161,0.876,0.994,-1.229,-0.402
195,4.545,0.417,-0.469,0.022,0.108,0.416,0.17,0.518,0.771,0.921,0.582,0.031,0.135
197,4.002,0.883,-0.3,0.032,-0.277,3.887,-0.478,0.483,-0.303,0.823,-0.232,0.04,-0.316
199,7.324,0.174,0.524,0.417,-2.061,0.749,1.331,0.273,0.485,0.255,0.463,-0.215,0.962
201,3.31,0.159,-0.422,0.509,-1.063,2.941,0.169,0.317,-0.506,0.45,0.462,-0.785,0.395
203,6.604,0.395,0.179,0.639,-1.58,0.41,0.285,0.383,0.401,0.905,0.544,-0.288,0.199
205,9.949,0.477,0.167,0.165,-3.695,0.251,0.249,0.315,0.189,0.485,0.267,0.376,0.361
206,4.627,-0.09,-0.459,-0.564,-1.189,-0.438,3.094,1.455,0.653,-0.432,-0.089,1.03,-0.233
207,9.559,0.283,0.547,1.121,-2.748,0.287,0.934,0.27,0.311,-0.542,0.045,0.551,1.128
208,7.194,0.593,1.103,0.967,-1.67,0.827,0.321,-0.311,0.255,0.544,0.659,-0.4,0.507
212,7.326,0.358,-0.312,0.16,-0.84,0.355,1.749,0.181,0.168,0.514,-0.064,0.868,0.044
214,1.418,0.171,0.163,0.168,-0.01,0.157,0.876,0.141,-0.015,-0.068,-0.64,-0.643,-0.074
215,3.752,0.632,0.515,0.536,0.73,-0.179,0.377,-0.582,0.355,0.396,0.502,-0.563,-0.107
217,2.033,0.326,1.081,0.618,-1.408,1.635,1.207,0.939,0.588,1.046,0.007,0.022,-0.308
218,3.581,0.539,0.071,-0.184,-0.306,0.434,2.237,0.205,0.787,-0.262,-0.247,0.66,0.771
221,7.847,0.186,-0.119,0.235,-1.46,0.791,0.403,0.047,0.265,-0.012,0.125,0.59,0.136
222,3.017,0.796,1.153,0.195,-0.645,0.539,0.019,0.445,0.895,0.023,0.031,-0.587,0.603
223,3.738,-0.068,-0.015,0.324,-0.353,0.146,1.227,0.089,0.67,0.337,-0.033,0.353,0.591
