OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE
-0.07247282472839142,0.8184362661808138,0.8919211146656667,0.028222581169373512,1.6096619751087693,0.26086050865836885,0.6146483874462461,0.7623756601735261,0.12752717532503519,0.7797999025977587,0.7305574783553341,0.36919384199170235,0.5813150541129077,0.6873756601735173,0.4154059632038203,0.5358605086583684,0.6866180844159413,-1.0828203718493904e-06
-0.9276515151515188,0.0,0.0,-1.5814393939393914,0.0,-0.42765151515152494,0.0,0.0,-0.627651515151519,0.0,0.0,-0.2651515151515108,0.0,0.0,-0.19583333333331715,0.0,0.0,-1.0828203718533886e-06
-0.9276515151515193,0.0,0.0,-1.581439393939391,0.0,-0.42765151515152106,0.0,0.0,-0.6276515151515185,0.0,0.0,-0.26515151515151164,0.0,0.0,0.0,-0.01515151515153143,0.0,-1.0828203718493963e-06
-0.9276515151515199,0.0,0.0,-1.5814393939393945,0.0,-0.4276515151515265,0.0,0.0,-0.6276515151515214,0.0,0.0,-0.2651515151515103,0.0,0.0,0.0,0.0,0.2109848484848457,-1.0828203719857828e-06
-0.9276515151515209,0.0,0.0,-1.5814393939393945,0.0,-0.4276515151515221,0.0,0.0,-0.6276515151515203,0.0,0.0,0.0,0.053030303030304024,0.0,-0.19583333333331499,0.0,0.0,-1.0828203718501724e-06
-0.9276515151515172,0.0,0.0,-1.5814393939393927,0.0,-0.42765151515152094,0.0,0.0,-0.6276515151515211,0.0,0.0,0.0,0.053030303030305107,0.0,0.0,-0.015151515151519745,0.0,-1.082820371862973e-06
-0.9276515151515218,0.0,0.0,-1.5814393939393927,0.0,-0.42765151515152494,0.0,0.0,-0.6276515151515223,0.0,0.0,0.0,0.05303030303030275,0.0,0.0,0.0,0.21098484848485002,-1.0828203718192676e-06
-0.9276515151515183,0.0,0.0,-1.5814393939393916,0.0,-0.4276515151515209,0.0,0.0,-0.6276515151515187,0.0,0.0,0.0,0.0,0.21212121212121188,-0.19583333333331876,0.0,0.0,-1.0828203718313844e-06
-0.9276515151515194,0.0,0.0,-1.5814393939393916,0.0,-0.4276515151515237,0.0,0.0,-0.6276515151515216,0.0,0.0,0.0,0.0,0.21212121212121152,0.0,-0.015151515151513653,0.0,-1.082820371913465e-06
-0.9276515151515201,0.0,0.0,-1.581439393939394,0.0,-0.4276515151515235,0.0,0.0,-0.6276515151515225,0.0,0.0,0.0,0.0,0.21212121212121116,0.0,0.0,0.21098484848484783,-1.0828203718533755e-06
-0.9276515151515236,0.0,0.0,-1.5814393939393878,0.0,-0.4276515151515239,0.0,0.0,0.0,0.35075757575756883,0.0,-0.26515151515151203,0.0,0.0,-0.19583333333332043,0.0,0.0,-1.0828203718517314e-06
-0.9276515151515222,0.0,0.0,-1.5814393939393911,0.0,-0.4276515151515221,0.0,0.0,0.0,0.3507575757575703,0.0,-0.26515151515151403,0.0,0.0,0.0,-0.01515151515153558,0.0,-1.0828203718544031e-06
-0.9276515151515189,0.0,0.0,-1.5814393939393907,0.0,-0.427651515151525,0.0,0.0,0.0,0.3507575757575667,0.0,-0.2651515151515138,0.0,0.0,0.0,0.0,0.2109848484848462,-1.0828203718417796e-06
-0.9276515151515201,0.0,0.0,-1.5814393939393898,0.0,-0.4276515151515237,0.0,0.0,0.0,0.3507575757575694,0.0,0.0,0.05303030303030343,0.0,-0.19583333333332922,0.0,0.0,-1.082820371855702e-06
-0.9276515151515207,0.0,0.0,-1.5814393939393874,0.0,-0.4276515151515222,0.0,0.0,0.0,0.3507575757575695,0.0,0.0,0.05303030303030465,0.0,0.0,-0.015151515151530195,0.0,-1.0828203718741028e-06
-0.927651515151519,0.0,0.0,-1.5814393939393896,0.0,-0.42765151515152505,0.0,0.0,0.0,0.3507575757575686,0.0,0.0,0.053030303030304274,0.0,0.0,0.0,0.2109848484848475,-1.082820371896741e-06
-0.9276515151515223,0.0,0.0,-1.581439393939388,0.0,-0.42765151515152283,0.0,0.0,0.0,0.35075757575756716,0.0,0.0,0.0,0.2121212121212124,-0.19583333333332092,0.0,0.0,-1.082820371862817e-06
-0.9276515151515208,0.0,0.0,-1.58143939393939,0.0,-0.4276515151515218,0.0,0.0,0.0,0.35075757575756783,0.0,0.0,0.0,0.21212121212121132,0.0,-0.015151515151532693,0.0,-1.0828203718761373e-06
-0.9276515151515201,0.0,0.0,-1.581439393939387,0.0,-0.4276515151515224,0.0,0.0,0.0,0.3507575757575646,0.0,0.0,0.0,0.21212121212120977,0.0,0.0,0.21098484848484828,-1.0828203718367884e-06
-0.927651515151521,0.0,0.0,-1.5814393939393936,0.0,-0.4276515151515241,0.0,0.0,0.0,0.0,0.27689393939394136,-0.2651515151515127,0.0,0.0,-0.19583333333332123,0.0,0.0,-1.0828203719106279e-06
-0.927651515151518,0.0,0.0,-1.5814393939393927,0.0,-0.427651515151524,0.0,0.0,0.0,0.0,0.2768939393939426,-0.26515151515151164,0.0,0.0,0.0,-0.015151515151518052,0.0,-1.0828203718545081e-06
-0.9276515151515192,0.0,0.0,-1.5814393939393923,0.0,-0.4276515151515228,0.0,0.0,0.0,0.0,0.27689393939394225,-0.26515151515151253,0.0,0.0,0.0,0.0,0.21098484848484705,-1.08282037184106e-06
-0.9276515151515246,0.0,0.0,-1.5814393939393934,0.0,-0.42765151515152566,0.0,0.0,0.0,0.0,0.27689393939394225,0.0,0.05303030303030186,0.0,-0.19583333333333222,0.0,0.0,-1.0828203718565563e-06
-0.9276515151515243,0.0,0.0,-1.581439393939393,0.0,-0.42765151515152455,0.0,0.0,0.0,0.0,0.2768939393939407,0.0,0.053030303030303094,0.0,0.0,-0.015151515151498929,0.0,-1.08282037190371e-06
-0.9276515151515272,0.0,0.0,-1.5814393939393958,0.0,-0.4276515151515242,0.0,0.0,0.0,0.0,0.2768939393939388,0.0,0.053030303030302414,0.0,0.0,0.0,0.21098484848484678,-1.0828203718526949e-06
-0.9276515151515224,0.0,0.0,-1.5814393939393936,0.0,-0.4276515151515205,0.0,0.0,0.0,0.0,0.276893939393943,0.0,0.0,0.21212121212121088,-0.19583333333332092,0.0,0.0,-1.0828203718554365e-06
-0.9276515151515213,0.0,0.0,-1.5814393939393963,0.0,-0.427651515151523,0.0,0.0,0.0,0.0,0.2768939393939435,0.0,0.0,0.2121212121212117,0.0,-0.015151515151517983,0.0,-1.0828203718572068e-06
-0.9276515151515191,0.0,0.0,-1.581439393939394,0.0,-0.4276515151515226,0.0,0.0,0.0,0.0,0.2768939393939427,0.0,0.0,0.21212121212121143,0.0,0.0,0.21098484848484644,-1.082820371858971e-06
-0.9276515151515222,0.0,0.0,-1.5814393939393905,0.0,0.0,0.10303030303031147,0.0,-0.6276515151515187,0.0,0.0,-0.2651515151515155,0.0,0.0,-0.19583333333331157,0.0,0.0,-1.0828203718478827e-06
-0.9276515151515223,0.0,0.0,-1.5814393939393923,0.0,0.0,0.10303030303030924,0.0,-0.6276515151515176,0.0,0.0,-0.26515151515151564,0.0,0.0,0.0,-0.015151515151529765,0.0,-1.0828203718853721e-06
-0.9276515151515222,0.0,0.0,-1.5814393939393925,0.0,0.0,0.1030303030303088,0.0,-0.6276515151515202,0.0,0.0,-0.26515151515151614,0.0,0.0,0.0,0.0,0.21098484848484772,-1.0828203718536774e-06
-0.9276515151515216,0.0,0.0,-1.5814393939393891,0.0,0.0,0.10303030303031102,0.0,-0.6276515151515201,0.0,0.0,0.0,0.05303030303030548,0.0,-0.19583333333332603,0.0,0.0,-1.082820371819668e-06
-0.9276515151515189,0.0,0.0,-1.5814393939393911,0.0,0.0,0.10303030303030947,0.0,-0.6276515151515217,0.0,0.0,0.0,0.053030303030303774,0.0,0.0,-0.015151515151515194,0.0,-1.0828203718541973e-06
-0.9276515151515196,0.0,0.0,-1.581439393939394,0.0,0.0,0.10303030303030614,0.0,-0.6276515151515221,0.0,0.0,0.0,0.05303030303030416,0.0,0.0,0.0,0.2109848484848492,-1.0828203717794943e-06
-0.9276515151515199,0.0,0.0,-1.5814393939393896,0.0,0.0,0.10303030303030813,0.0,-0.6276515151515178,0.0,0.0,0.0,0.0,0.2121212121212116,-0.195833333333322,0.0,0.0,-1.0828203718649984e-06
-0.9276515151515238,0.0,0.0,-1.5814393939393905,0.0,0.0,0.1030303030303088,0.0,-0.6276515151515172,0.0,0.0,0.0,0.0,0.21212121212121116,0.0,-0.015151515151530778,0.0,-1.0828203718554378e-06
-0.9276515151515173,0.0,0.0,-1.5814393939393911,0.0,0.0,0.10303030303030747,0.0,-0.6276515151515187,0.0,0.0,0.0,0.0,0.21212121212121257,0.0,0.0,0.21098484848484733,-1.0828203717990493e-06
-0.9276515151515202,0.0,0.0,-1.5814393939393905,0.0,0.0,0.10303030303030725,0.0,0.0,0.35075757575756694,0.0,-0.26515151515151475,0.0,0.0,-0.1958333333333129,0.0,0.0,-1.0828203718697922e-06
-0.9276515151515226,0.0,0.0,-1.5814393939393891,0.0,0.0,0.10303030303031124,0.0,0.0,0.3507575757575685,0.0,-0.26515151515151436,0.0,0.0,0.0,-0.015151515151517192,0.0,-1.0828203717752083e-06
-0.9276515151515212,0.0,0.0,-1.5814393939393898,0.0,0.0,0.10303030303030614,0.0,0.0,0.3507575757575643,0.0,-0.2651515151515129,0.0,0.0,0.0,0.0,0.21098484848484736,-1.0828203718022185e-06
-0.9276515151515217,0.0,0.0,-1.581439393939391,0.0,0.0,0.10303030303030902,0.0,0.0,0.3507575757575693,0.0,0.0,0.053030303030302206,0.0,-0.1958333333333286,0.0,0.0,-1.0828203717904947e-06
-0.9276515151515217,0.0,0.0,-1.5814393939393923,0.0,0.0,0.10303030303031102,0.0,0.0,0.3507575757575696,0.0,0.0,0.05303030303030351,0.0,0.0,-0.015151515151510933,0.0,-1.0828203718695682e-06
-0.9276515151515203,0.0,0.0,-1.5814393939393896,0.0,0.0,0.1030303030303088,0.0,0.0,0.3507575757575684,0.0,0.0,0.053030303030299236,0.0,0.0,0.0,0.21098484848484717,-1.0828203718630359e-06
-0.9276515151515226,0.0,0.0,-1.5814393939393891,0.0,0.0,0.10303030303030947,0.0,0.0,0.35075757575756483,0.0,0.0,0.0,0.21212121212121188,-0.19583333333331887,0.0,0.0,-1.0828203718734493e-06
-0.9276515151515174,0.0,0.0,-1.5814393939393905,0.0,0.0,0.10303030303030924,0.0,0.0,0.35075757575756505,0.0,0.0,0.0,0.21212121212120955,0.0,-0.015151515151505465,0.0,-1.0828203718773151e-06
-0.9276515151515199,0.0,0.0,-1.5814393939393887,0.0,0.0,0.10303030303030924,0.0,0.0,0.35075757575756616,0.0,0.0,0.0,0.21212121212121124,0.0,0.0,0.2109848484848476,-1.08282037188646e-06
-0.9276515151515187,0.0,0.0,-1.5814393939393954,0.0,0.0,0.10303030303031124,0.0,0.0,0.0,0.27689393939393925,-0.265151515151515,0.0,0.0,-0.1958333333333163,0.0,0.0,-1.0828203719099488e-06
-0.9276515151515222,0.0,0.0,-1.581439393939394,0.0,0.0,0.10303030303030747,0.0,0.0,0.0,0.2768939393939406,-0.2651515151515134,0.0,0.0,0.0,-0.01515151515150999,0.0,-1.0828203718583107e-06
-0.9276515151515209,0.0,0.0,-1.5814393939393931,0.0,0.0,0.10303030303030414,0.0,0.0,0.0,0.2768939393939406,-0.2651515151515139,0.0,0.0,0.0,0.0,0.21098484848485174,-1.08282037186202e-06
-0.9276515151515253,0.0,0.0,-1.5814393939393867,0.0,0.0,0.10303030303031036,0.0,0.0,0.0,0.27689393939394114,0.0,0.053030303030302525,0.0,-0.19583333333331768,0.0,0.0,-1.0828203718736924e-06
-0.9276515151515208,0.0,0.0,-1.5814393939393891,0.0,0.0,0.10303030303031235,0.0,0.0,0.0,0.2768939393939425,0.0,0.053030303030302636,0.0,0.0,-0.01515151515151468,0.0,-1.082820371957084e-06
-0.9276515151515208,0.0,0.0,-1.5814393939393874,0.0,0.0,0.10303030303030902,0.0,0.0,0.0,0.27689393939394186,0.0,0.053030303030302164,0.0,0.0,0.0,0.21098484848485008,-1.0828203718487701e-06
-0.9276515151515202,0.0,0.0,-1.581439393939394,0.0,0.0,0.10303030303030658,0.0,0.0,0.0,0.27689393939394036,0.0,0.0,0.2121212121212092,-0.19583333333331907,0.0,0.0,-1.0828203717207212e-06
-0.9276515151515201,0.0,0.0,-1.58143939393939,0.0,0.0,0.10303030303031013,0.0,0.0,0.0,0.2768939393939406,0.0,0.0,0.2121212121212133,0.0,-0.015151515151528905,0.0,-1.0828203718135414e-06
-0.9276515151515194,0.0,0.0,-1.581439393939391,0.0,0.0,0.10303030303030725,0.0,0.0,0.0,0.2768939393939401,0.0,0.0,0.21212121212121118,0.0,0.0,0.21098484848484964,-1.0828203718614826e-06
