OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE
-0.10076335040802309,0.6364161367807974,0.956928957293622,-0.17518348709188808,1.667765230856586,0.4441084445027562,0.38000588040014205,0.6684674188617985,-0.017430017035705347,0.8030828034771127,0.7069289573232902,0.1684674188617395,0.5402622906565885,0.783852034246369,0.2261597265541285,0.5723135727078354,0.6941084445027328,-9.746234847254833e-07
-0.8974358974358967,0.0,0.0,-1.842948717948712,0.0,-0.08012820512820415,0.0,0.0,-0.7724358974358981,0.0,0.0,-0.493589743589744,0.0,0.0,-0.4070512820512795,0.0,0.0,-9.74623484769006e-07
-0.8974358974358954,0.0,0.0,-1.842948717948714,0.0,-0.08012820512820443,0.0,0.0,-0.7724358974358987,0.0,0.0,-0.4935897435897434,0.0,0.0,0.0,0.11217948717949024,0.0,-9.74623484766331e-07
-0.8974358974358962,0.0,0.0,-1.842948717948712,0.0,-0.08012820512820362,0.0,0.0,-0.7724358974358971,0.0,0.0,-0.49358974358974356,0.0,0.0,0.0,0.0,0.29487179487179505,-9.746234847449892e-07
-0.8974358974358976,0.0,0.0,-1.8429487179487127,0.0,-0.08012820512820415,0.0,0.0,-0.772435897435898,0.0,0.0,0.0,0.06410256410256451,0.0,-0.40705128205127805,0.0,0.0,-9.746234847286696e-07
-0.8974358974358962,0.0,0.0,-1.842948717948715,0.0,-0.08012820512820487,0.0,0.0,-0.7724358974358989,0.0,0.0,0.0,0.06410256410256532,0.0,0.0,0.1121794871794912,0.0,-9.746234847674267e-07
-0.8974358974358974,0.0,0.0,-1.8429487179487145,0.0,-0.08012820512820415,0.0,0.0,-0.7724358974358978,0.0,0.0,0.0,0.06410256410256485,0.0,0.0,0.0,0.29487179487179377,-9.746234847229384e-07
-0.8974358974358964,0.0,0.0,-1.8429487179487132,0.0,-0.08012820512820432,0.0,0.0,-0.7724358974358979,0.0,0.0,0.0,0.0,0.42948717948717774,-0.4070512820512785,0.0,0.0,-9.746234848781957e-07
-0.8974358974358959,0.0,0.0,-1.8429487179487152,0.0,-0.08012820512820404,0.0,0.0,-0.7724358974358981,0.0,0.0,0.0,0.0,0.4294871794871787,0.0,0.11217948717949071,0.0,-9.746234847664183e-07
-0.8974358974358976,0.0,0.0,-1.842948717948714,0.0,-0.08012820512820407,0.0,0.0,-0.7724358974358979,0.0,0.0,0.0,0.0,0.4294871794871789,0.0,0.0,0.2948717948717962,-9.746234847968552e-07
-0.8974358974358985,0.0,0.0,-1.8429487179487138,0.0,-0.08012820512820495,0.0,0.0,0.0,0.4583333333333328,0.0,-0.4935897435897447,0.0,0.0,-0.4070512820512782,0.0,0.0,-9.746234847665597e-07
-0.8974358974358959,0.0,0.0,-1.8429487179487143,0.0,-0.08012820512820465,0.0,0.0,0.0,0.4583333333333348,0.0,-0.49358974358974417,0.0,0.0,0.0,0.11217948717948974,0.0,-9.746234847681429e-07
-0.8974358974358969,0.0,0.0,-1.8429487179487143,0.0,-0.08012820512820451,0.0,0.0,0.0,0.4583333333333346,0.0,-0.49358974358974333,0.0,0.0,0.0,0.0,0.2948717948717951,-9.74623484668575e-07
-0.8974358974358968,0.0,0.0,-1.8429487179487138,0.0,-0.08012820512820418,0.0,0.0,0.0,0.45833333333333415,0.0,0.0,0.06410256410256454,0.0,-0.4070512820512783,0.0,0.0,-9.746234847671478e-07
-0.8974358974358974,0.0,0.0,-1.8429487179487125,0.0,-0.0801282051282054,0.0,0.0,0.0,0.45833333333333537,0.0,0.0,0.06410256410256404,0.0,0.0,0.11217948717949003,0.0,-9.746234847482026e-07
-0.8974358974358964,0.0,0.0,-1.8429487179487145,0.0,-0.08012820512820473,0.0,0.0,0.0,0.4583333333333327,0.0,0.0,0.06410256410256371,0.0,0.0,0.0,0.29487179487179394,-9.7462348467714e-07
-0.8974358974358974,0.0,0.0,-1.8429487179487156,0.0,-0.08012820512820418,0.0,0.0,0.0,0.45833333333333426,0.0,0.0,0.0,0.42948717948717696,-0.40705128205127666,0.0,0.0,-9.746234847636307e-07
-0.8974358974358968,0.0,0.0,-1.8429487179487132,0.0,-0.08012820512820407,0.0,0.0,0.0,0.4583333333333346,0.0,0.0,0.0,0.42948717948717885,0.0,0.11217948717948953,0.0,-9.746234847033652e-07
-0.8974358974358979,0.0,0.0,-1.8429487179487145,0.0,-0.0801282051282044,0.0,0.0,0.0,0.4583333333333337,0.0,0.0,0.0,0.4294871794871776,0.0,0.0,0.2948717948717945,-9.746234846833942e-07
-0.8974358974358972,0.0,0.0,-1.842948717948713,0.0,-0.08012820512820476,0.0,0.0,0.0,0.0,0.3141025641025633,-0.493589743589744,0.0,0.0,-0.4070512820512778,0.0,0.0,-9.746234847097357e-07
-0.897435897435895,0.0,0.0,-1.842948717948715,0.0,-0.08012820512820448,0.0,0.0,0.0,0.0,0.3141025641025635,-0.4935897435897434,0.0,0.0,0.0,0.11217948717949068,0.0,-9.746234847677047e-07
-0.8974358974358968,0.0,0.0,-1.8429487179487132,0.0,-0.08012820512820334,0.0,0.0,0.0,0.0,0.31410256410256393,-0.4935897435897436,0.0,0.0,0.0,0.0,0.29487179487179493,-9.746234847648335e-07
-0.8974358974358979,0.0,0.0,-1.8429487179487147,0.0,-0.0801282051282042,0.0,0.0,0.0,0.0,0.31410256410256315,0.0,0.06410256410256332,0.0,-0.4070512820512788,0.0,0.0,-9.746234848452275e-07
-0.8974358974358961,0.0,0.0,-1.8429487179487158,0.0,-0.08012820512820548,0.0,0.0,0.0,0.0,0.3141025641025633,0.0,0.0641025641025626,0.0,0.0,0.11217948717949036,0.0,-9.74623484781321e-07
-0.8974358974358976,0.0,0.0,-1.842948717948715,0.0,-0.0801282051282029,0.0,0.0,0.0,0.0,0.31410256410256354,0.0,0.06410256410256282,0.0,0.0,0.0,0.29487179487179405,-9.746234846783461e-07
-0.8974358974358978,0.0,0.0,-1.842948717948713,0.0,-0.08012820512820401,0.0,0.0,0.0,0.0,0.31410256410256165,0.0,0.0,0.42948717948718007,-0.4070512820512776,0.0,0.0,-9.746234847313617e-07
-0.8974358974358967,0.0,0.0,-1.8429487179487143,0.0,-0.08012820512820423,0.0,0.0,0.0,0.0,0.31410256410256343,0.0,0.0,0.4294871794871809,0.0,0.11217948717948895,0.0,-9.746234847623445e-07
-0.8974358974358974,0.0,0.0,-1.8429487179487136,0.0,-0.0801282051282029,0.0,0.0,0.0,0.0,0.31410256410256404,0.0,0.0,0.42948717948718024,0.0,0.0,0.2948717948717934,-9.7462348455878e-07
-0.8974358974358974,0.0,0.0,-1.8429487179487136,0.0,0.0,-0.17628205128204932,0.0,-0.7724358974358992,0.0,0.0,-0.49358974358974317,0.0,0.0,-0.4070512820512776,0.0,0.0,-9.746234847515895e-07
-0.8974358974358957,0.0,0.0,-1.8429487179487123,0.0,0.0,-0.17628205128204844,0.0,-0.7724358974358989,0.0,0.0,-0.49358974358974383,0.0,0.0,0.0,0.11217948717949083,0.0,-9.746234847681704e-07
-0.8974358974358966,0.0,0.0,-1.842948717948714,0.0,0.0,-0.17628205128204755,0.0,-0.7724358974359,0.0,0.0,-0.49358974358974445,0.0,0.0,0.0,0.0,0.2948717948717944,-9.746234847646505e-07
