OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE
-0.5838799287870597,0.9994534045437359,0.8327867378770685,-0.7508198930762818,1.9991801069229518,0.4161200712818492,0.6244534046130115,0.20778673795180902,0.08278673794789104,0.8744534046162824,0.29112007128249595,0.041120071284698745,0.9161200712810018,0.2911200712809685,-0.0005465953844179527,0.2911200712831512,0.9577867379479361,-8.516832754225814e-07
-1.5000000000000007,0.0,0.0,-2.750000000000002,0.0,0.0,0.0,0.0,-0.4999999999999996,0.0,0.0,-0.5624999999999996,0.0,0.0,-0.625,0.0,0.0,-8.516832753684653e-07
-1.5000000000000002,0.0,0.0,-2.7500000000000013,0.0,-6.38378239159465e-16,0.0,0.0,-0.4999999999999993,0.0,0.0,-0.5624999999999992,0.0,0.0,0.0,-0.18750000000000064,0.0,-8.516832753707323e-07
-1.5,0.0,0.0,-2.7500000000000018,0.0,-7.494005416219807e-16,0.0,0.0,-0.5000000000000003,0.0,0.0,-0.5624999999999987,0.0,0.0,0.0,0.0,0.8124999999999991,-8.516832753759141e-07
-1.5000000000000004,0.0,0.0,-2.7500000000000013,0.0,-3.3306690738754696e-16,0.0,0.0,-0.4999999999999997,0.0,0.0,0.0,0.7499999999999999,0.0,-0.6249999999999993,0.0,0.0,-8.516832753752663e-07
-1.5000000000000009,0.0,0.0,-2.7500000000000013,0.0,9.43689570931383e-16,0.0,0.0,-0.5000000000000008,0.0,0.0,0.0,0.7499999999999991,0.0,0.0,-0.18750000000000028,0.0,-8.516832753775336e-07
-1.5000000000000009,0.0,0.0,-2.7500000000000013,0.0,6.106226635438361e-16,0.0,0.0,-0.49999999999999933,0.0,0.0,0.0,0.7499999999999993,0.0,0.0,0.0,0.8124999999999994,-8.516832753876146e-07
-1.5,0.0,0.0,-2.7500000000000027,0.0,-4.996003610813204e-16,0.0,0.0,-0.500000000000002,0.0,0.0,0.0,0.0,-0.18750000000000067,-0.6250000000000013,0.0,0.0,-8.516832753594406e-07
-1.5000000000000009,0.0,0.0,-2.750000000000001,0.0,8.326672684688674e-16,0.0,0.0,-0.4999999999999998,0.0,0.0,0.0,0.0,-0.18750000000000044,0.0,-0.18750000000000067,0.0,-8.516832753726753e-07
-1.5000000000000004,0.0,0.0,-2.7500000000000018,0.0,-3.608224830031759e-16,0.0,0.0,-0.5000000000000001,0.0,0.0,0.0,0.0,-0.18749999999999997,0.0,0.0,0.8125000000000002,-8.516832753612469e-07
